name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
Dudi Sela,dudi sela,ISR,R,175.0,2005-05-23,2018-07-02
Robert Smeets,robert smeets,AUS,L,188.0,2007-01-15,2008-08-25
Alex Kuznetsov,alex kuznetsov,USA,R,183.0,2006-08-28,2014-06-23
Mischa Zverev,mischa zverev,GER,L,190.0,2007-01-15,2019-07-01
Frank Dancevic,frank dancevic,CAN,R,185.0,2006-06-26,2014-08-25
Juan Martin del Potro,juan martin del potro,ARG,R,198.0,2006-05-29,2019-05-27
Carlos Berlocq,carlos berlocq,ARG,R,183.0,2006-01-16,2018-08-27
Konstantinos Economidis,konstantinos economidis,GRE,R,188.0,2002-06-24,2008-01-14
Ivan Navarro,ivan navarro,ESP,R,183.0,2004-06-21,2009-08-31
Simone Bolelli,simone bolelli,ITA,R,183.0,2007-05-28,2019-05-27
Edouard Roger Vasselin,edouard roger vasselin,FRA,R,188.0,2007-05-28,2010-05-24
Laurent Recouderc,laurent recouderc,FRA,R,178.0,2007-05-28,2010-05-24
Diego Hartfield,diego hartfield,ARG,R,185.0,2006-05-29,2008-01-14
Juan Pablo Brzezicki,juan pablo brzezicki,ARG,R,178.0,2005-05-23,2009-08-31
Ernests Gulbis,ernests gulbis,LAT,R,190.0,2007-05-28,2020-01-20
Flavio Cipolla,flavio cipolla,ITA,R,173.0,2007-05-28,2013-01-14
Aisam Ul Haq Qureshi,aisam ul haq qureshi,PAK,R,183.0,2007-06-25,2008-08-25
Michael Berrer,michael berrer,GER,L,193.0,2006-06-26,2015-08-31
Jo-Wilfried Tsonga,jo-wilfried tsonga,FRA,R,188.0,2005-05-23,2022-05-23
Nicolas Devilder,nicolas devilder,FRA,L,173.0,2007-01-15,2012-05-27
Rik De Voest,rik de voest,RSA,R,180.0,2007-06-25,2012-01-16
John Isner,john isner,USA,R,206.0,2007-08-27,2023-08-28
Donald Young,donald young,USA,L,183.0,2005-08-29,2018-08-27
Philipp Petzschner,philipp petzschner,GER,R,185.0,2007-08-27,2013-08-26
Wayne Odesnik,wayne odesnik,USA,L,180.0,2004-08-30,2014-08-25
Robin Haase,robin haase,NED,R,190.0,2007-08-27,2021-02-08
Marin Cilic,marin cilic,CRO,R,198.0,2007-01-15,2024-01-15
Denis Istomin,denis istomin,UZB,R,188.0,2006-01-16,2021-05-31
Alun Jones,alun jones,AUS,R,180.0,2001-01-15,2008-01-14
Sam Warburg,sam warburg,USA,R,190.0,2007-06-25,2008-08-25
Jesse Levine,jesse levine,CAN,L,175.0,2007-08-27,2013-06-24
David Marrero,david marrero,ESP,R,185.0,2008-05-25,2008-05-25
Pablo Andujar,pablo andujar,ESP,R,180.0,2008-05-25,2022-06-27
Diego Junqueira,diego junqueira,ARG,L,178.0,2008-05-25,2011-08-29
Marcos Daniel,marcos daniel,BRA,R,180.0,2003-01-13,2011-01-17
Eduardo Schwank,eduardo schwank,ARG,R,183.0,2008-05-25,2012-05-27
Marcel Granollers,marcel granollers,ESP,R,190.0,2006-06-26,2019-08-26
Miguel Angel Lopez Jaen,miguel angel lopez jaen,ESP,R,188.0,2008-05-25,2008-05-25
Sebastian Decoud,sebastian decoud,ARG,L,178.0,2008-05-25,2008-05-25
Maximo Gonzalez,maximo gonzalez,ARG,R,175.0,2008-05-25,2015-05-24
Thomaz Bellucci,thomaz bellucci,BRA,L,188.0,2008-05-25,2018-05-28
Simon Stadler,simon stadler,GER,L,183.0,2006-06-26,2011-01-17
Chris Eaton,chris eaton,GBR,R,188.0,2008-06-23,2008-06-23
Viktor Troicki,viktor troicki,SRB,R,193.0,2008-01-14,2021-02-08
Ryler Deheart,ryler deheart,USA,L,183.0,2008-08-25,2008-08-25
Steve Darcis,steve darcis,BEL,R,178.0,2007-08-27,2019-08-26
Andrey Golubev,andrey golubev,KAZ,R,185.0,2008-08-25,2015-05-24
Andreas Beck,andreas beck,GER,L,190.0,2008-06-23,2014-08-25
Kei Nishikori,kei nishikori,JPN,R,178.0,2008-06-23,2024-07-01
Rui Machado,rui machado,POR,R,178.0,2008-08-25,2012-08-27
Fabio Fognini,fabio fognini,ITA,R,178.0,2007-05-28,2024-08-26
Bernard Tomic,bernard tomic,AUS,R,193.0,2009-01-19,2021-02-08
Brydan Klein,brydan klein,AUS,R,183.0,2008-01-14,2017-07-03
Brian Dabul,brian dabul,ARG,L,170.0,2008-06-23,2011-05-22
Josselin Ouanna,josselin ouanna,FRA,R,193.0,2008-05-25,2013-01-14
Daniel Gimeno Traver,daniel gimeno traver,ESP,R,185.0,2005-05-23,2016-01-18
Sergiy Stakhovsky,sergiy stakhovsky,UKR,R,193.0,2008-06-23,2021-02-08
Guillaume Rufin,guillaume rufin,FRA,R,188.0,2009-05-25,2013-08-26
Victor Crivoi,victor crivoi,ROU,R,185.0,2008-05-25,2009-08-31
Leonardo Mayer,leonardo mayer,ARG,R,188.0,2009-05-25,2020-08-31
Pablo Cuevas,pablo cuevas,URU,R,180.0,2007-08-27,2022-05-23
Simon Greul,simon greul,GER,R,185.0,2006-06-26,2011-01-17
Carsten Ball,carsten ball,AUS,L,198.0,2008-08-25,2011-01-17
Jesse Witten,jesse witten,USA,R,178.0,2006-08-28,2010-06-21
Somdev Devvarman,somdev devvarman,IND,R,180.0,2009-08-31,2014-06-23
Marsel Ilhan,marsel ilhan,TUR,R,190.0,2009-08-31,2016-05-23
Horacio Zeballos,horacio zeballos,ARG,L,188.0,2009-08-31,2018-07-02
Daniel Koellerer,daniel koellerer,AUT,R,180.0,2009-05-25,2010-05-24
Stephane Robert,stephane robert,FRA,R,185.0,2004-05-24,2018-07-02
Ivan Sergeyev,ivan sergeyev,UKR,R,175.0,2010-01-18,2010-01-18
Ivan Dodig,ivan dodig,CRO,R,183.0,2010-01-18,2017-01-16
Illya Marchenko,illya marchenko,UKR,R,185.0,2010-01-18,2017-07-03
Santiago Giraldo,santiago giraldo,COL,R,188.0,2007-05-28,2019-08-26
Louk Sorensen,louk sorensen,IRL,R,175.0,2010-01-18,2011-08-29
Antonio Veic,antonio veic,CRO,R,180.0,2010-01-18,2011-05-22
Lukas Lacko,lukas lacko,SVK,R,185.0,2007-01-15,2018-08-27
Julian Reister,julian reister,GER,R,188.0,2010-05-24,2014-06-23
Tobias Kamke,tobias kamke,GER,R,180.0,2008-06-23,2019-08-26
Thiemo De Bakker,thiemo de bakker,NED,R,193.0,2007-06-25,2016-05-23
Blaz Kavcic,blaz kavcic,SLO,R,188.0,2010-01-18,2018-01-15
Grega Zemlja,grega zemlja,SLO,R,183.0,2009-06-22,2013-08-26
Pere Riba,pere riba,ESP,R,183.0,2010-05-24,2014-08-25
Yuri Schukin,yuri schukin,KAZ,R,188.0,2001-01-15,2010-05-24
Alexandr Dolgopolov,alexandr dolgopolov,UKR,R,180.0,2010-05-24,2018-01-15
Ricardas Berankis,ricardas berankis,LTU,R,175.0,2010-06-21,2022-06-27
Daniel Brands,daniel brands,GER,R,196.0,2008-05-25,2017-07-03
Brendan Evans,brendan evans,USA,R,188.0,2008-08-25,2010-06-21
Michal Przysiezny,michal przysiezny,POL,R,185.0,2007-08-27,2014-06-23
Martin Fischer,martin fischer,AUT,R,180.0,2010-05-24,2011-06-20
Benoit Paire,benoit paire,FRA,R,196.0,2010-05-24,2023-05-29
Ryan Harrison,ryan harrison,USA,R,183.0,2010-01-18,2019-01-14
Adrian Mannarino,adrian mannarino,FRA,L,183.0,2008-05-25,2024-08-26
Dustin Brown,dustin brown,GER,R,196.0,2010-06-21,2018-01-15
Kevin Anderson,kevin anderson,RSA,R,203.0,2008-01-14,2022-01-17
Peter Polansky,peter polansky,CAN,R,180.0,2009-01-19,2018-08-27
Bernard Tomic,bernard tomic,AUS,R,196.0,2009-01-19,2021-02-08
John Isner,john isner,USA,R,208.0,2007-08-27,2023-08-28
Milos Raonic,milos raonic,CAN,R,196.0,2010-08-30,2024-01-15
Andy Murray,andy murray,GBR,R,191.0,2005-06-20,2024-05-27
Adrian Mannarino,adrian mannarino,FRA,L,180.0,2008-05-25,2024-08-26
Richard Gasquet,richard gasquet,FRA,R,183.0,2002-05-27,2024-05-27
Nicolas Mahut,nicolas mahut,FRA,R,191.0,2000-05-29,2019-05-27
Robin Haase,robin haase,NED,R,191.0,2007-08-27,2021-02-08
Grigor Dimitrov,grigor dimitrov,BUL,R,191.0,2009-06-22,2024-08-26
Frederico Gil,frederico gil,POR,R,173.0,2008-05-25,2012-01-16
Lukasz Kubot,lukasz kubot,POL,R,191.0,2006-08-28,2014-06-23
Albert Ramos,albert ramos,ESP,L,188.0,2011-05-22,2024-08-26
Andreas Haider Maurer,andreas haider maurer,AUT,R,190.0,2010-08-30,2018-05-28
Lukas Rosol,lukas rosol,CZE,R,193.0,2010-08-30,2022-06-27
Thomas Schoorel,thomas schoorel,NED,L,203.0,2011-05-22,2011-05-22
Maxime Teixeira,maxime teixeira,FRA,R,188.0,2011-05-22,2013-05-27
Marsel Ilhan,marsel ilhan,TUR,R,191.0,2009-08-31,2016-05-23
Mikhail Kukushkin,mikhail kukushkin,KAZ,R,183.0,2010-08-30,2024-05-27
Marcel Granollers,marcel granollers,ESP,R,191.0,2006-06-26,2019-08-26
Denis Istomin,denis istomin,UZB,R,185.0,2006-01-16,2021-05-31
Ryan Harrison,ryan harrison,USA,R,185.0,2010-01-18,2019-01-14
Sergei Bubka,sergei bubka,UKR,R,188.0,2011-08-29,2011-08-29
Malek Jaziri,malek jaziri,TUN,R,185.0,2011-08-29,2019-07-01
Rogerio Dutra Silva,rogerio dutra silva,BRA,R,178.0,2011-08-29,2018-05-28
Vasek Pospisil,vasek pospisil,CAN,R,193.0,2011-08-29,2023-01-16
Jack Sock,jack sock,USA,R,191.0,2010-08-30,2022-08-29
Tatsuma Ito,tatsuma ito,JPN,R,180.0,2011-08-29,2020-01-20
James Duckworth,james duckworth,AUS,R,183.0,2012-01-16,2024-08-26
Andrey Golubev,andrey golubev,KAZ,R,180.0,2008-08-25,2015-05-24
Edouard Roger-Vasselin,edouard roger-vasselin,FRA,R,185.0,2008-01-14,2016-06-27
Matthew Ebden,matthew ebden,AUS,R,188.0,2010-01-18,2019-07-01
Cedrik Marcel Stebe,cedrik marcel stebe,GER,L,183.0,2011-06-20,2021-02-08
Adrian Ungur,adrian ungur,ROU,R,178.0,2012-05-27,2016-05-23
Martin Klizan,martin klizan,SVK,L,191.0,2010-08-30,2019-08-26
David Goffin,david goffin,BEL,R,180.0,2012-05-27,2024-08-26
Ruben Bemelmans,ruben bemelmans,BEL,L,183.0,2011-06-20,2019-07-01
Jerzy Janowicz,jerzy janowicz,POL,R,203.0,2012-06-25,2017-07-03
Inigo Cervantes Huegun,inigo cervantes huegun,ESP,R,180.0,2012-06-25,2016-08-29
Kenny De Schepper,kenny de schepper,FRA,L,203.0,2011-06-20,2016-05-23
Go Soeda,go soeda,JPN,R,178.0,2007-01-15,2020-08-31
James Ward,james ward,GBR,R,190.0,2009-06-22,2019-07-01
Jurgen Zopp,jurgen zopp,EST,R,190.0,2012-01-16,2018-05-28
Tim Smyczek,tim smyczek,USA,R,175.0,2010-08-30,2018-08-27
Bradley Klahn,bradley klahn,USA,L,183.0,2010-08-30,2020-08-31
Steve Johnson,steve johnson,USA,R,188.0,2011-08-29,2023-08-28
Igor Sijsling,igor sijsling,NED,R,191.0,2011-06-20,2016-06-27
Dennis Novikov,dennis novikov,USA,R,193.0,2012-08-27,2016-06-27
Andrey Kuznetsov,andrey kuznetsov,RUS,R,183.0,2010-06-21,2022-05-23
Roberto Bautista Agut,roberto bautista agut,ESP,R,183.0,2012-01-16,2024-08-26
Evgeny Donskoy,evgeny donskoy,RUS,R,185.0,2013-01-14,2021-08-30
Rajeev Ram,rajeev ram,USA,R,193.0,2004-08-30,2016-08-29
Joao Sousa,joao sousa,POR,R,185.0,2012-05-27,2023-01-16
Amir Weintraub,amir weintraub,ISR,R,188.0,2013-01-14,2013-01-14
Guido Pella,guido pella,ARG,L,183.0,2012-08-27,2023-08-28
Lucas Pouille,lucas pouille,FRA,R,185.0,2013-05-27,2024-07-01
Federico Delbonis,federico delbonis,ARG,L,193.0,2013-05-27,2022-08-29
Nick Kyrgios,nick kyrgios,AUS,R,193.0,2013-05-27,2022-08-29
Jan Lennard Struff,jan lennard struff,GER,R,193.0,2013-05-27,2024-08-26
Denis Kudla,denis kudla,USA,R,180.0,2012-01-16,2023-01-16
Dustin Brown,dustin brown,JAM,R,196.0,2010-06-21,2018-01-15
Peter Gojowczyk,peter gojowczyk,GER,R,188.0,2012-01-16,2022-08-29
Maximo Gonzalez,maximo gonzalez,ARG,R,173.0,2008-05-25,2015-05-24
Daniel Evans,daniel evans,GBR,R,175.0,2009-06-22,2024-08-26
Thanasi Kokkinakis,thanasi kokkinakis,AUS,R,193.0,2014-01-13,2024-08-26
Dusan Lajovic,dusan lajovic,SRB,R,183.0,2014-01-13,2024-08-26
Vincent Millot,vincent millot,FRA,L,173.0,2011-01-17,2017-08-28
Blaz Rola,blaz rola,SLO,L,193.0,2014-01-13,2019-05-27
Teymuraz Gabashvili,teymuraz gabashvili,RUS,R,185.0,2006-08-28,2017-05-29
Damir Dzumhur,damir dzumhur,BIH,R,175.0,2014-01-13,2022-01-17
Dominic Thiem,dominic thiem,AUT,R,185.0,2014-01-13,2024-08-26
Axel Michon,axel michon,FRA,L,176.0,2014-05-26,2014-05-26
Marinko Matosevic,marinko matosevic,AUS,R,194.0,2010-01-18,2015-06-29
Aleksandr Nedovyesov,aleksandr nedovyesov,KAZ,R,188.0,2014-01-13,2015-08-31
Facundo Bagnis,facundo bagnis,ARG,L,183.0,2014-05-26,2023-01-16
Diego Schwartzman,diego schwartzman,ARG,R,170.0,2014-05-26,2024-08-26
Jiri Vesely,jiri vesely,CZE,L,198.0,2013-05-27,2024-01-15
Alejandro Gonzalez,alejandro gonzalez,COL,R,190.0,2014-01-13,2015-08-31
Tim Puetz,tim puetz,GER,R,185.0,2014-06-23,2015-01-19
Luke Saville,luke saville,AUS,R,188.0,2013-01-14,2016-06-27
Ante Pavic,ante pavic,CRO,R,196.0,2014-05-26,2014-06-23
Pablo Carreno Busta,pablo carreno busta,ESP,R,188.0,2013-05-27,2024-08-26
Matthias Bachinger,matthias bachinger,GER,R,188.0,2011-06-20,2018-01-15
Borna Coric,borna coric,CRO,R,188.0,2014-08-25,2024-08-26
Victor Estrella,victor estrella,DOM,R,173.0,2014-05-26,2018-01-15
Alexander Kudryavtsev,alexander kudryavtsev,RUS,R,183.0,2012-01-16,2016-06-27
Paolo Lorenzi,paolo lorenzi,ITA,R,183.0,2010-01-18,2020-08-31
Sam Groth,sam groth,AUS,R,193.0,2009-01-19,2017-01-16
Marius Copil,marius copil,ROU,R,191.0,2015-01-19,2019-08-26
Kyle Edmund,kyle edmund,GBR,R,188.0,2013-06-24,2023-01-16
Andrea Arnaboldi,andrea arnaboldi,ITA,L,180.0,2014-05-26,2019-07-01
Pierre Hugues Herbert,pierre hugues herbert,FRA,R,188.0,2014-05-26,2024-05-27
Alexander Zverev,alexander zverev,GER,R,198.0,2015-06-29,2024-08-26
John Millman,john millman,AUS,R,183.0,2013-01-14,2023-01-16
Liam Broady,liam broady,GBR,L,183.0,2015-06-29,2024-07-01
Aljaz Bedene,aljaz bedene,SLO,R,181.0,2013-01-14,2022-08-29
Nikoloz Basilashvili,nikoloz basilashvili,GEO,R,185.0,2015-05-24,2023-01-16
Filip Krajinovic,filip krajinovic,SRB,R,185.0,2012-05-27,2023-05-29
Hyeon Chung,hyeon chung,KOR,R,188.0,2015-06-29,2019-08-26
Austin Krajicek,austin krajicek,USA,L,188.0,2008-08-25,2016-01-18
Yoshihito Nishioka,yoshihito nishioka,JPN,L,170.0,2014-08-25,2024-08-26
Quentin Halys,quentin halys,FRA,R,191.0,2015-05-24,2024-08-26
Renzo Olivo,renzo olivo,ARG,R,178.0,2016-01-18,2017-07-03
Omar Jasika,omar jasika,AUS,L,183.0,2016-01-18,2024-01-15
Noah Rubin,noah rubin,USA,R,175.0,2014-08-25,2019-07-01
Marco Trungelliti,marco trungelliti,ARG,R,178.0,2016-01-18,2022-01-17
Mirza Basic,mirza basic,BIH,R,188.0,2016-01-18,2019-01-14
Andrej Martin,andrej martin,SVK,R,183.0,2013-08-26,2021-05-31
Adam Pavlasek,adam pavlasek,CZE,R,185.0,2016-05-23,2018-05-28
Taro Daniel,taro daniel,JPN,R,191.0,2014-08-25,2024-08-26
Bjorn Fratangelo,bjorn fratangelo,USA,R,183.0,2015-08-31,2022-05-23
Jordan Thompson,jordan thompson,AUS,R,183.0,2014-01-13,2024-08-26
Mathias Bourgue,mathias bourgue,FRA,R,188.0,2016-05-23,2021-05-31
Marcus Willis,marcus willis,GBR,L,191.0,2016-06-27,2016-06-27
Radu Albot,radu albot,MDA,R,175.0,2014-08-25,2024-08-26
Matthew Barton,matthew barton,AUS,R,191.0,2016-06-27,2016-06-27
Ernesto Escobedo,ernesto escobedo,MEX,R,185.0,2016-08-29,2023-01-16
Jan Satral,jan satral,CZE,R,185.0,2016-08-29,2016-08-29
Alessandro Giannessi,alessandro giannessi,ITA,L,185.0,2016-08-29,2022-05-23
Karen Khachanov,karen khachanov,RUS,R,198.0,2016-08-29,2024-08-26
Jared Donaldson,jared donaldson,USA,R,188.0,2014-08-25,2018-07-02
Andrey Rublev,andrey rublev,RUS,R,188.0,2015-08-31,2024-08-26
Alex De Minaur,alex de minaur,AUS,R,183.0,2017-01-16,2024-08-26
Alexander Bublik,alexander bublik,KAZ,R,196.0,2017-01-16,2024-08-26
Frances Tiafoe,frances tiafoe,USA,R,188.0,2015-05-24,2024-08-26
Andrew Whittington,andrew whittington,AUS,R,188.0,2017-01-16,2017-07-03
Nicolas Kicker,nicolas kicker,ARG,R,178.0,2017-05-29,2018-01-15
Thiago Monteiro,thiago monteiro,BRA,L,183.0,2017-01-16,2024-08-26
Konstantin Kravchuk,konstantin kravchuk,RUS,R,190.0,2014-06-23,2017-05-29
Benjamin Bonzi,benjamin bonzi,FRA,R,183.0,2017-05-29,2024-01-15
Stefano Napolitano,stefano napolitano,ITA,R,196.0,2017-05-29,2017-05-29
Daniil Medvedev,daniil medvedev,RUS,R,198.0,2017-01-16,2024-08-26
Sebastian Ofner,sebastian ofner,AUT,R,191.0,2017-07-03,2024-08-26
Yuichi Sugita,yuichi sugita,JPN,R,173.0,2014-06-23,2021-08-30
Stefano Travaglia,stefano travaglia,ITA,R,185.0,2017-07-03,2023-08-28
Adrian Menendez Maceiras,adrian menendez maceiras,ESP,R,185.0,2012-06-25,2017-08-28
Taylor Fritz,taylor fritz,USA,R,196.0,2016-01-18,2024-08-26
Thomas Fabbiano,thomas fabbiano,ITA,R,173.0,2013-08-26,2019-08-26
Denis Shapovalov,denis shapovalov,CAN,L,185.0,2017-07-03,2024-08-26
Cameron Norrie,cameron norrie,GBR,L,188.0,2017-07-03,2024-07-01
Casper Ruud,casper ruud,NOR,R,183.0,2018-01-15,2024-08-26
Mackenzie Mcdonald,mackenzie mcdonald,USA,R,178.0,2016-08-29,2024-08-26
Maximilian Marterer,maximilian marterer,GER,L,188.0,2017-08-28,2024-08-26
Tennys Sandgren,tennys sandgren,USA,R,188.0,2017-05-29,2021-08-30
Marton Fucsovics,marton fucsovics,HUN,R,188.0,2016-08-29,2024-08-26
Lorenzo Sonego,lorenzo sonego,ITA,R,191.0,2018-01-15,2024-08-26
Hubert Hurkacz,hubert hurkacz,POL,R,196.0,2018-05-28,2024-08-26
Elias Ymer,elias ymer,SWE,R,185.0,2015-01-19,2024-07-01
Corentin Moutet,corentin moutet,FRA,L,180.0,2018-01-15,2024-08-26
Marco Cecchinato,marco cecchinato,ITA,R,185.0,2015-08-31,2023-08-28
Jaume Munar,jaume munar,ESP,R,183.0,2018-01-15,2024-08-26
Guido Andreozzi,guido andreozzi,ARG,R,183.0,2012-08-27,2019-07-01
Stefanos Tsitsipas,stefanos tsitsipas,GRE,R,193.0,2017-05-29,2024-08-26
Matteo Berrettini,matteo berrettini,ITA,R,196.0,2018-01-15,2024-08-26
Nicolas Jarry,nicolas jarry,CHI,R,201.0,2017-05-29,2024-08-26
Dennis Novak,dennis novak,AUT,R,183.0,2018-01-15,2023-07-03
Jason Kubler,jason kubler,AUS,R,178.0,2010-01-18,2024-01-15
Roberto Carballes Baena,roberto carballes baena,ESP,R,183.0,2016-05-23,2024-08-26
Ugo Humbert,ugo humbert,FRA,L,188.0,2018-08-27,2024-08-26
Laslo Djere,laslo djere,SRB,R,188.0,2016-05-23,2024-08-26
Ilya Ivashka,ilya ivashka,BLR,R,193.0,2016-08-29,2023-08-28
Alex Bolt,alex bolt,AUS,L,183.0,2017-01-16,2024-07-01
Alexei Popyrin,alexei popyrin,AUS,R,196.0,2018-01-15,2024-08-26
Reilly Opelka,reilly opelka,USA,R,211.0,2017-01-16,2024-08-26
Henri Laaksonen,henri laaksonen,SUI,R,185.0,2017-07-03,2022-06-27
Salvatore Caruso,salvatore caruso,ITA,R,185.0,2018-01-15,2022-01-17
Lloyd Harris,lloyd harris,RSA,R,193.0,2018-08-27,2024-07-01
Elliot Benchetrit,elliot benchetrit,MAR,R,193.0,2018-05-28,2020-09-28
Mikael Ymer,mikael ymer,SWE,R,183.0,2019-05-27,2023-07-03
Antoine Hoang,antoine hoang,FRA,R,183.0,2019-05-27,2021-08-30
Gregoire Barrere,gregoire barrere,FRA,R,183.0,2016-05-23,2024-05-27
Hugo Dellien,hugo dellien,BOL,R,180.0,2019-05-27,2023-08-28
Cristian Garin,cristian garin,CHI,R,185.0,2017-07-03,2024-07-01
Oscar Otte,oscar otte,GER,R,193.0,2018-05-28,2023-07-03
Juan Ignacio Londero,juan ignacio londero,ARG,R,180.0,2019-05-27,2022-05-23
Miomir Kecmanovic,miomir kecmanovic,SRB,R,183.0,2019-01-14,2024-08-26
Yannick Maden,yannick maden,GER,R,185.0,2018-07-02,2019-05-27
Felix Auger Aliassime,felix auger aliassime,CAN,R,193.0,2018-08-27,2024-08-26
Dominik Koepfer,dominik koepfer,GER,L,180.0,2019-07-01,2024-08-26
Jay Clarke,jay clarke,GBR,R,183.0,2018-07-02,2022-06-27
Jenson Brooksby,jenson brooksby,USA,R,188.0,2018-08-27,2023-01-16
Kamil Majchrzak,kamil majchrzak,POL,R,180.0,2019-01-14,2022-08-29
Egor Gerasimov,egor gerasimov,BLR,R,196.0,2019-08-26,2022-01-17
Pedro Martinez,pedro martinez,ESP,R,185.0,2019-05-27,2024-08-26
Alejandro Tabilo,alejandro tabilo,CHI,L,188.0,2020-01-20,2024-08-26
Jannik Sinner,jannik sinner,ITA,R,191.0,2019-08-26,2024-08-26
Tommy Paul,tommy paul,USA,R,185.0,2015-08-31,2024-08-26
Michael Mmoh,michael mmoh,USA,R,188.0,2016-08-29,2023-08-28
Alejandro Davidovich Fokina,alejandro davidovich fokina,ESP,R,183.0,2019-05-27,2024-08-26
Marc Polmans,marc polmans,AUS,R,188.0,2019-01-14,2024-01-15
Mitchell Krueger,mitchell krueger,USA,R,188.0,2018-08-27,2024-08-26
Soon Woo Kwon,soon woo kwon,KOR,R,180.0,2018-01-15,2024-08-26
Marcos Giron,marcos giron,USA,R,180.0,2014-08-25,2024-08-26
Maxime Cressy,maxime cressy,USA,R,201.0,2020-08-31,2023-07-03
Federico Coria,federico coria,ARG,R,180.0,2020-08-31,2024-08-26
Brandon Nakashima,brandon nakashima,USA,R,188.0,2020-08-31,2024-08-26
Emil Ruusuvuori,emil ruusuvuori,FIN,R,188.0,2020-08-31,2024-07-01
J J Wolf,j j wolf,USA,R,183.0,2020-08-31,2024-05-27
Christopher Oconnell,christopher oconnell,AUS,R,183.0,2017-01-16,2024-08-26
Norbert Gombos,norbert gombos,SVK,R,193.0,2017-07-03,2022-08-29
Sumit Nagal,sumit nagal,IND,R,178.0,2019-08-26,2024-08-26
Daniel Elahi Galan,daniel elahi galan,COL,R,191.0,2020-01-20,2024-07-01
Attila Balazs,attila balazs,HUN,R,180.0,2020-08-31,2023-08-28
Daniel Altmaier,daniel altmaier,GER,R,188.0,2020-09-28,2024-08-26
Nikola Milojevic,nikola milojevic,SRB,R,188.0,2020-09-28,2022-01-17
Jurij Rodionov,jurij rodionov,AUT,L,191.0,2020-09-28,2023-05-29
Lorenzo Giustino,lorenzo giustino,ITA,R,180.0,2020-01-20,2020-09-28
Hugo Gaston,hugo gaston,FRA,L,173.0,2020-01-20,2024-08-26
Sebastian Korda,sebastian korda,USA,R,196.0,2020-08-31,2024-08-26
Aslan Karatsev,aslan karatsev,RUS,R,185.0,2021-02-08,2024-07-01
Alexandre Muller,alexandre muller,FRA,R,183.0,2017-05-29,2024-08-26
Carlos Alcaraz,carlos alcaraz,ESP,R,183.0,2021-02-08,2024-08-26
Tomas Machac,tomas machac,CZE,R,183.0,2020-09-28,2024-08-26
Roman Safiullin,roman safiullin,RUS,R,185.0,2021-02-08,2024-08-26
Lorenzo Musetti,lorenzo musetti,ITA,R,185.0,2021-05-31,2024-08-26
Gianluca Mager,gianluca mager,ITA,R,188.0,2020-08-31,2022-01-17
Botic Van De Zandschulp,botic van de zandschulp,NED,R,191.0,2021-02-08,2024-08-26
Enzo Couacaud,enzo couacaud,FRA,R,183.0,2021-05-31,2023-08-28
Tallon Griekspoor,tallon griekspoor,NED,R,188.0,2020-01-20,2024-08-26
Zachary Svajda,zachary svajda,USA,R,175.0,2019-08-26,2024-08-26
Bernabe Zapata Miralles,bernabe zapata miralles,ESP,R,183.0,2021-05-31,2024-01-15
