player_id,name,name_norm,ioc,first_seen_date,last_seen_date
98026997,Adrian Voinea,adrian voinea,ROU,2000-01-17,2003-06-23
20481490,Albert Costa,albert costa,ESP,2000-01-17,2005-08-29
2680524,Albert Portas,albert portas,ESP,2000-01-17,2006-06-26
67664601,Alberto Berasategui,alberto berasategui,ESP,2000-01-17,2000-06-26
83316041,Alberto Martin,alberto martin,ESP,2000-01-17,2009-08-31
48770669,Alex Corretja,alex corretja,ESP,2000-01-17,2004-08-30
48249752,Alex Lopez Moron,alex lopez moron,ESP,2000-01-17,2000-01-17
65194975,Alex Obrien,alex obrien,USA,2000-01-17,2001-01-15
17136950,Andre Agassi,andre agassi,USA,2000-01-17,2006-08-28
21544944,Andrea Gaudenzi,andrea gaudenzi,ITA,2000-01-17,2003-01-13
59483736,Andreas Vinciguerra,andreas vinciguerra,SWE,2000-01-17,2003-08-25
54487331,Andrei Medvedev,andrei medvedev,UKR,2000-01-17,2001-06-25
91651475,Andrew Ilie,andrew ilie,AUS,2000-01-17,2003-01-13
53195913,Antony Dupuis,antony dupuis,FRA,2000-01-17,2005-06-20
54968648,Arnaud Clement,arnaud clement,FRA,2000-01-17,2012-05-27
19102570,Arvind Parmar,arvind parmar,GBR,2000-01-17,2004-06-21
91862659,Axel Pretzsch,axel pretzsch,GER,2000-01-17,2002-01-14
86815960,Bernd Karbacher,bernd karbacher,GER,2000-01-17,2000-01-17
65144875,Byron Black,byron black,ZIM,2000-01-17,2002-01-14
97674767,Cecil Mamiit,cecil mamiit,PHI,2000-01-17,2004-01-19
27643104,Cedric Pioline,cedric pioline,FRA,2000-01-17,2002-06-24
15079852,Chris Woodruff,chris woodruff,USA,2000-01-17,2001-08-27
94662776,Christophe Rochus,christophe rochus,BEL,2000-01-17,2010-01-18
90506107,Cyril Saulnier,cyril saulnier,FRA,2000-01-17,2006-01-16
41108922,Daniel Vacek,daniel vacek,CZE,2000-01-17,2002-01-14
85272829,Davide Sanguinetti,davide sanguinetti,ITA,2000-01-17,2007-06-25
95360991,Dejan Petrovic,dejan petrovic,SRB,2000-01-17,2001-01-15
10010775,Dominik Hrbaty,dominik hrbaty,SVK,2000-01-17,2009-01-19
67564074,Fabrice Santoro,fabrice santoro,FRA,2000-01-17,2010-01-18
14514333,Felix Mantilla,felix mantilla,ESP,2000-01-17,2005-08-29
74718412,Fernando Meligeni,fernando meligeni,BRA,2000-01-17,2003-01-13
33491560,Fernando Vicente,fernando vicente,ESP,2000-01-17,2007-06-25
71979332,Francisco Clavet,francisco clavet,ESP,2000-01-17,2003-01-13
68344238,Franco Squillari,franco squillari,ARG,2000-01-17,2003-08-25
86115486,Fredrik Jonsson,fredrik jonsson,SWE,2000-01-17,2001-06-25
22003488,Galo Blanco,galo blanco,ESP,2000-01-17,2004-06-21
76485336,Gaston Gaudio,gaston gaudio,ARG,2000-01-17,2009-05-25
68445073,George Bastl,george bastl,SUI,2000-01-17,2006-08-28
87536495,Gianluca Pozzi,gianluca pozzi,ITA,2000-01-17,2001-08-27
29156826,Goran Ivanisevic,goran ivanisevic,CRO,2000-01-17,2004-06-21
16738647,Gouichi Motomura,gouichi motomura,JPN,2000-01-17,2003-01-13
65087101,Grant Stafford,grant stafford,RSA,2000-01-17,2000-01-17
24792278,Guillermo Canas,guillermo canas,ARG,2000-01-17,2009-06-22
33420453,Gustavo Kuerten,gustavo kuerten,BRA,2000-01-17,2008-05-25
72268409,Hernan Gumy,hernan gumy,ARG,2000-01-17,2000-08-28
2070089,Hicham Arazi,hicham arazi,MAR,2000-01-17,2004-08-30
60508851,Ivan Ljubicic,ivan ljubicic,CRO,2000-01-17,2012-01-16
96731345,Jacobo Diaz,jacobo diaz,ESP,2000-01-17,2003-01-13
48172339,James Sekulov,james sekulov,AUS,2000-01-17,2000-01-17
69549753,Jamie Delgado,jamie delgado,GBR,2000-01-17,2006-06-26
81647881,Jan Kroslak,jan kroslak,SVK,2000-01-17,2000-01-17
91502929,Jan Michael Gambill,jan michael gambill,USA,2000-01-17,2005-08-29
42327995,Jan Siemerink,jan siemerink,NED,2000-01-17,2001-08-27
78170813,Jason Stoltenberg,jason stoltenberg,AUS,2000-01-17,2001-06-25
42772009,Jeff Tarango,jeff tarango,USA,2000-01-17,2001-01-15
9659505,Jens Knippschild,jens knippschild,GER,2000-01-17,2002-05-27
48827713,Jerome Golmard,jerome golmard,FRA,2000-01-17,2004-08-30
65345637,Jim Courier,jim courier,USA,2000-01-17,2000-01-17
32860737,Jiri Novak,jiri novak,CZE,2000-01-17,2006-08-28
74469197,Jiri Vanek,jiri vanek,CZE,2000-01-17,2009-05-25
10514968,John Van Lottum,john van lottum,NED,2000-01-17,2004-06-21
78613276,Jonas Bjorkman,jonas bjorkman,SWE,2000-01-17,2008-06-23
29265412,Joseph Sirianni,joseph sirianni,AUS,2000-01-17,2008-01-14
16453018,Juan Antonio Marin,juan antonio marin,CRC,2000-01-17,2006-05-29
21077683,Juan Carlos Ferrero,juan carlos ferrero,ESP,2000-01-17,2012-06-25
62460378,Julian Alonso,julian alonso,ESP,2000-01-17,2000-01-17
44184634,Julien Boutter,julien boutter,FRA,2000-01-17,2004-06-21
49269647,Karim Alami,karim alami,MAR,2000-01-17,2001-08-27
15540789,Karol Kucera,karol kucera,SVK,2000-01-17,2005-08-29
31628674,Kevin Ullyett,kevin ullyett,ZIM,2000-01-17,2000-01-17
15801505,Laurence Tieleman,laurence tieleman,ITA,2000-01-17,2000-06-26
72775784,Leander Paes,leander paes,IND,2000-01-17,2001-06-25
53162960,Lleyton Hewitt,lleyton hewitt,AUS,2000-01-17,2016-01-18
75117239,Lorenzo Manta,lorenzo manta,SUI,2000-01-17,2000-01-17
92541299,Magnus Norman,magnus norman,SWE,2000-01-17,2003-08-25
32906707,Marat Safin,marat safin,RUS,2000-01-17,2009-08-31
61429607,Marc Rosset,marc rosset,SUI,2000-01-17,2003-06-23
75967012,Mariano Puerta,mariano puerta,ARG,2000-01-17,2005-08-29
51436541,Mariano Zabaleta,mariano zabaleta,ARG,2000-01-17,2008-01-14
89146262,Mark Philippoussis,mark philippoussis,AUS,2000-01-17,2006-08-28
41571125,Mark Woodforde,mark woodforde,AUS,2000-01-17,2000-06-26
10565806,Markus Hipfl,markus hipfl,AUT,2000-01-17,2002-06-24
16014662,Martin Damm Sr,martin damm sr,CZE,2000-01-17,2002-01-14
68527135,Martin Rodriguez,martin rodriguez,ARG,2000-01-17,2000-05-29
54365619,Max Mirnyi,max mirnyi,BLR,2000-01-17,2007-08-27
1316263,Michael Chang,michael chang,USA,2000-01-17,2003-08-25
17145471,Michael Hill,michael hill,AUS,2000-01-17,2000-01-17
62218960,Michael Llodra,michael llodra,FRA,2000-01-17,2014-08-25
25055606,Michal Tabara,michal tabara,CZE,2000-01-17,2005-06-20
25791149,Mikael Tillstrom,mikael tillstrom,SWE,2000-01-17,2000-08-28
76632297,Nicklas Kulti,nicklas kulti,SWE,2000-01-17,2000-01-17
54588163,Nicolas Escude,nicolas escude,FRA,2000-01-17,2004-05-24
31470746,Nicolas Kiefer,nicolas kiefer,GER,2000-01-17,2010-06-21
17733607,Nicolas Lapentti,nicolas lapentti,ECU,2000-01-17,2010-05-24
75810067,Noam Okun,noam okun,ISR,2000-01-17,2006-08-28
3644249,Orlin Stanoytchev,orlin stanoytchev,BUL,2000-01-17,2000-08-28
45351021,Paradorn Srichaphan,paradorn srichaphan,THA,2000-01-17,2007-01-15
65060703,Paul Goldstein,paul goldstein,USA,2000-01-17,2007-08-27
87721625,Pete Sampras,pete sampras,USA,2000-01-17,2002-08-26
49514387,Peter Wessels,peter wessels,NED,2000-01-17,2005-08-29
91406790,Raemon Sluiter,raemon sluiter,NED,2000-01-17,2006-08-28
77691828,Rainer Schuettler,rainer schuettler,GER,2000-01-17,2011-06-20
44151259,Richard Fromberg,richard fromberg,AUS,2000-01-17,2002-01-14
85574457,Richard Krajicek,richard krajicek,NED,2000-01-17,2003-01-13
8248366,Rodolphe Cadart,rodolphe cadart,FRA,2000-01-17,2000-01-17
12893523,Roger Federer,roger federer,SUI,2000-01-17,2021-06-28
28757759,Ronald Agenor,ronald agenor,USA,2000-01-17,2000-06-26
74030799,Sargis Sargsian,sargis sargsian,ARM,2000-01-17,2005-06-20
87118190,Scott Draper,scott draper,AUS,2000-01-17,2005-06-20
2184697,Sebastien Grosjean,sebastien grosjean,FRA,2000-01-17,2010-01-18
72671630,Sebastien Lareau,sebastien lareau,CAN,2000-01-17,2000-08-28
68910611,Sjeng Schalken,sjeng schalken,NED,2000-01-17,2005-01-17
57587140,Slava Dosedel,slava dosedel,CZE,2000-01-17,2001-08-27
69580218,Stefan Koubek,stefan koubek,AUT,2000-01-17,2010-06-21
54817297,Thomas Enqvist,thomas enqvist,SWE,2000-01-17,2005-06-20
61904868,Thomas Johansson,thomas johansson,SWE,2000-01-17,2008-08-25
85692276,Tim Henman,tim henman,GBR,2000-01-17,2007-08-27
70965625,Todd Martin,todd martin,USA,2000-01-17,2004-08-30
92216427,Todd Woodbridge,todd woodbridge,AUS,2000-01-17,2001-06-25
87693766,Tomas Behrend,tomas behrend,GER,2000-01-17,2006-01-16
86526576,Tomas Zib,tomas zib,CZE,2000-01-17,2008-08-25
91918332,Tommy Haas,tommy haas,GER,2000-01-17,2017-03-07
12876585,Vincent Spadea,vincent spadea,USA,2000-01-17,2009-06-22
30306197,Wayne Arthurs,wayne arthurs,AUS,2000-01-17,2007-06-25
33733538,Wayne Black,wayne black,ZIM,2000-01-17,2001-06-25
66853937,Wayne Ferreira,wayne ferreira,RSA,2000-01-17,2004-08-30
27321291,Yevgeny Kafelnikov,yevgeny kafelnikov,RUS,2000-01-17,2003-08-25
24738045,Younes El Aynaoui,younes el aynaoui,MAR,2000-01-17,2005-08-29
70061348,Agustin Calleri,agustin calleri,ARG,2000-05-29,2009-06-22
4136847,Alexander Popp,alexander popp,GER,2000-05-29,2005-08-29
36478114,Andre Sa,andre sa,BRA,2000-05-29,2004-06-21
7153049,Andrei Pavel,andrei pavel,ROU,2000-05-29,2009-08-31
71135006,Arnaud Di Pasquale,arnaud di pasquale,FRA,2000-05-29,2004-08-30
89301598,Attila Savolt,attila savolt,HUN,2000-05-29,2003-05-26
77206214,Bjorn Phau,bjorn phau,GER,2000-05-29,2013-01-14
62014384,Bohdan Ulihrach,bohdan ulihrach,CZE,2000-05-29,2007-06-25
31847188,Carlos Moya,carlos moya,ESP,2000-05-29,2010-01-18
61952146,Christian Ruud,christian ruud,NOR,2000-05-29,2001-05-28
68824457,Christian Vinck,christian vinck,GER,2000-05-29,2001-01-15
45849660,David Prinosil,david prinosil,GER,2000-05-29,2003-01-13
67739863,Eric Prodon,eric prodon,FRA,2000-05-29,2012-05-27
7162033,Federico Browne,federico browne,ARG,2000-05-29,2003-05-26
72658617,Greg Rusedski,greg rusedski,GBR,2000-05-29,2006-08-28
2578353,Guillaume Raoux,guillaume raoux,FRA,2000-05-29,2000-05-29
95793679,Guillermo Coria,guillermo coria,ARG,2000-05-29,2008-05-25
71659382,Harel Levy,harel levy,ISR,2000-05-29,2008-01-14
45134961,Jean Rene Lisnard,jean rene lisnard,MON,2000-05-29,2011-08-29
45635849,Juan Balcells,juan balcells,ESP,2000-05-29,2003-01-13
60755367,Juan Ignacio Chela,juan ignacio chela,ARG,2000-05-29,2012-06-25
59082804,Justin Gimelstob,justin gimelstob,USA,2000-05-29,2007-08-27
77748447,Magnus Gustafsson,magnus gustafsson,SWE,2000-05-29,2001-08-27
79132153,Marcelo Charpentier,marcelo charpentier,ARG,2000-05-29,2000-05-29
37813592,Marcelo Rios,marcelo rios,CHI,2000-05-29,2003-05-26
13798458,Markus Hantschk,markus hantschk,GER,2000-05-29,2001-01-15
27985563,Michel Kratochvil,michel kratochvil,SUI,2000-05-29,2003-06-23
69949852,Nicolas Mahut,nicolas mahut,FRA,2000-05-29,2019-05-27
38098714,Nicolas Massu,nicolas massu,CHI,2000-05-29,2010-06-21
99969378,Oscar Serrano,oscar serrano,ESP,2000-05-29,2000-05-29
4555656,Patrick Rafter,patrick rafter,AUS,2000-05-29,2001-08-27
25283888,Sergi Bruguera,sergi bruguera,ESP,2000-05-29,2001-08-27
69060012,Stephane Huet,stephane huet,FRA,2000-05-29,2001-06-25
91261685,Thierry Guardiola,thierry guardiola,FRA,2000-05-29,2000-08-28
32807029,Werner Eschauer,werner eschauer,AUT,2000-05-29,2008-01-14
16147113,Barry Cowan,barry cowan,GBR,2000-06-26,2002-06-24
8778891,Daniel Nestor,daniel nestor,CAN,2000-06-26,2001-06-25
42659886,Igor Gaudi,igor gaudi,ITA,2000-06-26,2000-06-26
62094560,Jurgen Melzer,jurgen melzer,AUT,2000-06-26,2017-01-16
60422944,Justin Bower,justin bower,RSA,2000-06-26,2002-06-24
67914333,Mahesh Bhupathi,mahesh bhupathi,IND,2000-06-26,2000-06-26
23469602,Martin Lee,martin lee,GBR,2000-06-26,2006-06-26
51632498,Michael Kohlmann,michael kohlmann,GER,2000-06-26,2002-06-24
85454461,Michael Russell,michael russell,USA,2000-06-26,2015-01-19
64390683,Miles Maclagan,miles maclagan,GBR,2000-06-26,2000-06-26
13367474,Neville Godwin,neville godwin,RSA,2000-06-26,2002-06-24
98572058,Olivier Rochus,olivier rochus,BEL,2000-06-26,2013-06-24
1130969,Paul Kilderry,paul kilderry,AUS,2000-06-26,2000-06-26
39495536,Taylor Dent,taylor dent,USA,2000-06-26,2010-08-30
32269019,Vladimir Voltchkov,vladimir voltchkov,BLR,2000-06-26,2004-05-24
53674481,Alex Kim,alex kim,USA,2000-08-28,2003-08-25
52300464,Andy Roddick,andy roddick,USA,2000-08-28,2012-08-27
14700592,Bob Bryan,bob bryan,USA,2000-08-28,2001-08-27
29389197,Cedric Kauffmann,cedric kauffmann,FRA,2000-08-28,2001-05-28
21098379,David Sanchez,david sanchez,ESP,2000-08-28,2005-05-23
16030999,Fernando Gonzalez,fernando gonzalez,CHI,2000-08-28,2011-08-29
41486460,Hyung Taik Lee,hyung taik lee,KOR,2000-08-28,2008-08-25
49462613,Kevin Kim,kevin kim,USA,2000-08-28,2009-08-31
44391457,Lars Burgsmuller,lars burgsmuller,GER,2000-08-28,2006-01-16
57627587,Mardy Fish,mardy fish,USA,2000-08-28,2015-08-31
43566022,Petr Kralert,petr kralert,CZE,2000-08-28,2000-08-28
45664251,Phillip King,phillip king,USA,2000-08-28,2000-08-28
82295767,Xavier Malisse,xavier malisse,BEL,2000-08-28,2013-08-26
82019619,Alex Calatrava,alex calatrava,ESP,2001-01-15,2005-06-20
71394428,Alun Jones,alun jones,AUS,2001-01-15,2008-01-14
45117176,Andrei Stoliarov,andrei stoliarov,RUS,2001-01-15,2002-06-24
38583818,Daniel Elsner,daniel elsner,GER,2001-01-15,2004-08-30
88049074,German Puentes,german puentes,ESP,2001-01-15,2001-08-27
22463531,Ivo Heuberger,ivo heuberger,SUI,2001-01-15,2004-08-30
35276782,Ladislav Svarc,ladislav svarc,SVK,2001-01-15,2001-01-15
97518301,Marcos Ondruska,marcos ondruska,RSA,2001-01-15,2001-05-28
70153160,Matthew Breen,matthew breen,AUS,2001-01-15,2001-01-15
24039873,Mikhail Youzhny,mikhail youzhny,RUS,2001-01-15,2018-08-27
4801160,Nenad Zimonjic,nenad zimonjic,SRB,2001-01-15,2001-01-15
92304110,Nikolay Davydenko,nikolay davydenko,RUS,2001-01-15,2014-05-26
32552882,Ota Fukarek,ota fukarek,CZE,2001-01-15,2002-01-14
29641196,Takao Suzuki,takao suzuki,JPN,2001-01-15,2005-01-17
89032600,Todd Perry,todd perry,AUS,2001-01-15,2001-01-15
84872738,Tommy Robredo,tommy robredo,ESP,2001-01-15,2018-08-27
34605580,Yuri Schukin,yuri schukin,KAZ,2001-01-15,2010-05-24
70306668,Albert Montanes,albert montanes,ESP,2001-05-28,2016-06-27
44529020,Federico Luzzi,federico luzzi,ITA,2001-05-28,2006-01-16
5067751,Feliciano Lopez,feliciano lopez,ESP,2001-05-28,2022-06-27
44344062,Jan Frode Andersen,jan frode andersen,NOR,2001-05-28,2001-05-28
72359225,Jose Acasuso,jose acasuso,ARG,2001-05-28,2010-01-18
80554478,Kristian Pless,kristian pless,DEN,2001-05-28,2007-08-27
72359365,Magnus Larsson,magnus larsson,SWE,2001-05-28,2003-01-13
26781170,Marc Kevin Goellner,marc kevin goellner,GER,2001-05-28,2001-05-28
35585058,Nicolas Coutelot,nicolas coutelot,FRA,2001-05-28,2003-05-26
95230114,Nicolas Thomann,nicolas thomann,FRA,2001-05-28,2002-06-24
50442127,Paul Henri Mathieu,paul henri mathieu,FRA,2001-05-28,2017-05-29
8751765,Stefano Galvani,stefano galvani,ITA,2001-05-28,2010-05-24
81264196,Artem Derepasko,artem derepasko,RUS,2001-06-25,2001-06-25
16336912,Edwin Kempes,edwin kempes,NED,2001-06-25,2002-08-26
95270130,Jan Vacek,jan vacek,CZE,2001-06-25,2004-06-21
24515264,Julian Knowle,julian knowle,AUT,2001-06-25,2004-06-21
78843743,Kenneth Carlsen,kenneth carlsen,DEN,2001-06-25,2006-05-29
70387149,Lee Childs,lee childs,GBR,2001-06-25,2007-06-25
80391709,Luke Milligan,luke milligan,GBR,2001-06-25,2001-06-25
76275784,Mark Hilton,mark hilton,GBR,2001-06-25,2004-06-21
62318152,Yong Il Yoon,yong il yoon,KOR,2001-06-25,2001-06-25
45373765,Alex Bogomolov Jr,alex bogomolov jr,RUS,2001-08-27,2014-01-13
44318176,Alexandre Simoni,alexandre simoni,BRA,2001-08-27,2002-06-24
51106355,Cristiano Caratti,cristiano caratti,ITA,2001-08-27,2002-06-24
79337905,David Nalbandian,david nalbandian,ARG,2001-08-27,2012-06-25
64284845,Eric Taino,eric taino,PHI,2001-08-27,2002-08-26
92320127,Hugo Armando,hugo armando,USA,2001-08-27,2005-05-23
99471753,Jack Brasington,jack brasington,USA,2001-08-27,2003-01-13
65398497,James Blake,james blake,USA,2001-08-27,2013-08-26
49230813,Levar Harper Griffith,levar harper griffith,USA,2001-08-27,2001-08-27
2992262,Mike Bryan,mike bryan,USA,2001-08-27,2001-08-27
31246399,Ramon Delgado,ramon delgado,PAR,2001-08-27,2010-06-21
72470079,Robby Ginepri,robby ginepri,USA,2001-08-27,2014-05-26
99318541,Sebastien De Chaunac,sebastien de chaunac,FRA,2001-08-27,2009-01-19
78952883,Flavio Saretta,flavio saretta,BRA,2002-01-14,2006-08-28
48530928,Irakli Labadze,irakli labadze,GEO,2002-01-14,2006-06-26
8142823,Jarkko Nieminen,jarkko nieminen,FIN,2002-01-14,2015-08-31
97090208,Jaymon Crabb,jaymon crabb,AUS,2002-01-14,2003-01-13
59069525,Jean Francois Bachelot,jean francois bachelot,FRA,2002-01-14,2002-06-24
69779984,Olivier Patience,olivier patience,FRA,2002-01-14,2010-05-24
52954760,Todd Larkham,todd larkham,AUS,2002-01-14,2004-01-19
50509258,Todd Reid,todd reid,AUS,2002-01-14,2005-01-17
4310007,Amir Hadad,amir hadad,ISR,2002-05-27,2002-05-27
43978924,Didac Perez,didac perez,ESP,2002-05-27,2002-05-27
44366540,Edgardo Massa,edgardo massa,ARG,2002-05-27,2006-05-29
5819648,Giorgio Galimberti,giorgio galimberti,ITA,2002-05-27,2005-08-29
31599521,Ivan Miranda,ivan miranda,PER,2002-05-27,2004-01-19
29290503,Julien Benneteau,julien benneteau,FRA,2002-05-27,2018-08-27
18073117,Julien Varlet,julien varlet,FRA,2002-05-27,2003-05-26
24986269,Martin Vassallo Arguello,martin vassallo arguello,ARG,2002-05-27,2010-01-18
65795515,Oleg Ogorodov,oleg ogorodov,UZB,2002-05-27,2002-05-27
67123304,Oliver Marach,oliver marach,AUT,2002-05-27,2006-08-28
93807101,Richard Gasquet,richard gasquet,FRA,2002-05-27,2024-05-27
21014650,Alan Mackin,alan mackin,GBR,2002-06-24,2007-01-15
557624,Alex Bogdanovic,alex bogdanovic,GBR,2002-06-24,2009-06-22
90600751,Alexander Waske,alexander waske,GER,2002-06-24,2007-08-27
92490793,Brian Vahaly,brian vahaly,USA,2002-06-24,2004-01-19
9204401,Denis Golovanov,denis golovanov,RUS,2002-06-24,2002-06-24
14767490,Gregory Carraz,gregory carraz,FRA,2002-06-24,2005-01-17
2686996,Jeff Morrison,jeff morrison,USA,2002-06-24,2006-08-28
63466344,Juan Pablo Guzman,juan pablo guzman,ARG,2002-06-24,2007-08-27
19715011,Karol Beck,karol beck,SVK,2002-06-24,2012-08-27
63396862,Konstantinos Economidis,konstantinos economidis,GRE,2002-06-24,2008-01-14
42227655,Mario Ancic,mario ancic,CRO,2002-06-24,2009-01-19
